"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1235","Логин без логина → 400","","2026-02-14","passed","2026-02-14","","LoginCourierApiTest","LoginCourierApiTest","loginWithoutLoginFail"
"Проверка всех вариантов: без цвета, один цвет, оба цвета","299","Создание заказа с разными комбинациями цветов Создание заказа с цветами: [GREY]","","2026-02-14","passed","2026-02-14","","OrderCreationApiTest","OrderCreationApiTest","createOrderWithDifferentColors"
"","1179","Логин с неверным паролем → 404","","2026-02-14","passed","2026-02-14","","LoginCourierApiTest","LoginCourierApiTest","loginWithWrongPasswordFail"
"","490","Создание заказа без цвета → 201 + track","","2026-02-14","passed","2026-02-14","","OrderCreationApiTest","OrderCreationApiTest","createOrderWithoutColorSuccess"
"","1175","Успешный логин курьера → 200 + id","","2026-02-14","passed","2026-02-14","","LoginCourierApiTest","LoginCourierApiTest","loginCourierSuccess"
"","277","Создание без пароля → 400","","2026-02-14","passed","2026-02-14","","CourierApiTest","CourierApiTest","createCourierWithoutPasswordFail"
"Проверка всех вариантов: без цвета, один цвет, оба цвета","326","Создание заказа с разными комбинациями цветов Создание заказа с цветами: []","","2026-02-14","passed","2026-02-14","","OrderCreationApiTest","OrderCreationApiTest","createOrderWithDifferentColors"
"Отсутствие обязательного поля login возвращает ошибку","256","Создание без логина → 400","","2026-02-14","passed","2026-02-14","","CourierApiTest","CourierApiTest","createCourierWithoutLoginFail"
"Повторное создание курьера с тем же логином возвращает ошибку","2972","Создание двух одинаковых курьеров → 409","","2026-02-14","passed","2026-02-14","","CourierApiTest","CourierApiTest","createDuplicateCourierFail"
"","1184","Логин несуществующего пользователя → 404","","2026-02-14","passed","2026-02-14","","LoginCourierApiTest","LoginCourierApiTest","loginNonExistingUserFail"
"Проверка всех вариантов: без цвета, один цвет, оба цвета","226","Создание заказа с разными комбинациями цветов Создание заказа с цветами: [BLACK]","","2026-02-14","passed","2026-02-14","","OrderCreationApiTest","OrderCreationApiTest","createOrderWithDifferentColors"
"Проверка, что список заказов возвращается и является массивом","10696","Получение списка заказов → 200 + массив orders","","2026-02-14","passed","2026-02-14","","OrderListApiTest","OrderListApiTest","getOrdersListSuccess"
"Проверка всех вариантов: без цвета, один цвет, оба цвета","311","Создание заказа с разными комбинациями цветов Создание заказа с цветами: [BLACK, GREY]","","2026-02-14","passed","2026-02-14","","OrderCreationApiTest","OrderCreationApiTest","createOrderWithDifferentColors"
"Успешное создание курьера со всеми полями","945","Создание курьера → 201 + ok: true","","2026-02-14","passed","2026-02-14","","CourierApiTest","CourierApiTest","createCourierSuccess"
"Проверка всех вариантов: без цвета, один цвет, оба цвета","0","Создание заказа с разными комбинациями цветов","","2026-02-14","broken","2026-02-14","","OrderCreationApiTest","OrderCreationApiTest","createOrderWithDifferentColors"
